Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold,profit,Profit_Margin,Month,Year,Days_Took_To_Ship
Tuvalu,Baby Food,5/28/2010,669165933,High,Australia and Oceania,Offline,6/27/2010,1582243.5,2533654,9925,951410.5,37.55092447508618,May,2010,30 days
Grenada,Cereal,8/22/2012,963881480,CriticaLow,Central America and the Caribbean,Online,9/15/2012,328376.44,576782.8,2804,248406.36000000004,43.067574137092855,August,2012,24 days
Russia,Office Supplies,2/5/2014,341417157,Low,Europe,Offline,8/5/2014,933903.84,1158502.59,1779,224598.75000000012,19.386987300563575,February,2014,181 days
Sao Tome and Principe,Fruits,6/20/2014,514321792,CriticaLow,Sub-Saharan Africa,Online,5/7/2014,56065.84,75591.66,8102,19525.820000000007,25.830653804930343,June,2014,44 days
Rwanda,Office Supplies,1/2/2013,115456712,Low,Sub-Saharan Africa,Offline,6/2/2013,2657347.52,3296425.02,5062,639077.5,19.386987300563565,January,2013,151 days
Solomon Islands,Baby Food,4/2/2015,547995746,CriticaLow,Australia and Oceania,Online,2/21/2015,474115.08,759202.72,2974,285087.63999999996,37.55092447508618,April,2015,40 days
Angola,Household,4/23/2011,135425221,Medium,India,Offline,4/27/2011,2104134.98,2798046.49,4187,693911.5100000002,24.799856345489104,April,2011,4 days
Burkina Faso,,7/17/2012,871543967,High,Sub-Saharan Africa,Online,7/27/2012,734896.26,1245112.92,8082,510216.6599999999,40.97754121770738,July,2012,10 days
Republic of the Congo,Personal Care,7/14/2015,770463311,Medium,Sub-Saharan Africa,Offline,8/25/2015,343986.9,496101.1,6070,152114.19999999995,30.661935641747206,July,2015,42 days
Senegal,Cereal,4/18/2014,616607081,High,India,Online,5/30/2014,772106.23,1356180.1,6593,584073.8700000001,43.067574137092855,April,2014,42 days
Kyrgyzstan,Vegetables,6/24/2011,814711606,High,Asia,Online,12/7/2011,11275.32,19103.44,124,7828.119999999999,40.97754121770738,June,2011,166 days
Cape Verde,Clothes,2/8/2014,939825713,High,Sub-Saharan Africa,Offline,8/19/2014,149381.12,455479.04,4168,306097.92,67.20351390922401,February,2014,192 days
